COD_CIR,Origen,Destino,Nom_orig,Nom_Des,Km,Res,Reac,tension,proy,q3,max
LNX-081,SIS-48,SIS-41,Yarabamba 500 kV,Montalvo 500 kV,97.7,0.024,0.334,500,0,0.152179885,0.492670052
LNX-069,SICN101,SIS-48,Poroma 500 kV,Yarabamba 500 kV,454.4,0.0222,0.153462,500,0,0.418589437,0.895204486
LNX-047,SICN103,SICN101,Colcabamba 500 kV,Poroma 500 kV,360.1,0.0222,0.3416,500,0,0.219472911,0.644157958
LNX-088,SICN103,SICN204,Colcabamba 500 kV,Yanango 500 kV,167.09,0.019,0.170148,500,0,0.400964976,0.838847105
LNX-089,SICN204,SICN201,Yanango 500 kV,Carapongo 500 kV,210.61,0.018,0.171043,500,0,0.300510653,0.791871154
LNX-115,SICN204,SICN211,Yanango 500 kV,Huanuco 500 kV,190.76,0.0191,0.3372,500,0,0.211919187,0.497750009
LNX-122,SICN211,SICN214,Huanuco 500 kV,Tocache 500 kV,188.948,0.021,0.16315,500,0,0.280457097,0.555079774
LNX-123,SICN214,SICN216,Tocache 500 kV,Celendin 500 kV,324.967,0.0206,0.1647,500,0,0.280457097,0.555079774
LNX-125,SICN216,SICN100,Celendin 500 kV,Trujillo 500 kV,172.5,0.0208,0.3266,500,0,0.08201034,0.208962199
LNX-130,SICN216,SICN206,Celendin 500 kV,Piura 500 kV,382.096,0.021,0.1635,500,0,0.151098335,0.325644815
LNX-147,SIS-51,SIS-48,San Jose 500 kV,Yarabamba 500 kV,50.86,0.0212,0.3292,500,0,0.327962944,0.782435066
TNE-073,SICN210,SICN230,Nueva PariÇñas 500 kV,Nueva PariÇñas 220 kV,1,0.415022,55.765121,500,0,0.115360331,0.267254078
TNE-043,SICN206,SICN306,Piura 500 kV,Piura Este 220 kV,1,0.536532,53.763987,500,0,0.226235237,0.420483341
TNE-033,SICN105,SICN-98,La NiÇña 500 kV,La NiÇña 220 kV,1,0.743819,66.704187,500,0,0.168954162,0.677931157
TNE-030,SICN100,SICN054,Trujillo 500 kV,Trujillo Nueva 220 kV,1,0.415022,55.765121,500,0,0.281173198,0.43203895
TNE-029,SICN-99,SICN-15,Chimbote 500 kV,Chimbote 220 kV,1,0.415022,55.765121,500,0,0.161917577,0.304840246
TNE-023,SICN-82,SICN158,Carabayllo 500 kV,Carabayllo 220 kV,1,0.501479,67.873151,500,0,0.641965716,0.978751254
TNE-b23,SICN-82,SICN158,Carabayllo 500 kV,Carabayllo 220 kV,1,0.501479,67.873151,500,0,0.641965716,0.978751254
TNE-038,SICN201,SICN046,Carapongo 500 kV,Carapongo 220 kV,1,0.469739,54.231301,500,0,0.792512074,1.216807906
TNE-040,SICN202,SICN-84,Planicie 500 kV,Planicie 220 kV,1,0.703285,67.32966,500,0,1,1.469163432
TNE-022,SICN-81,SICN106,Chilca 500 kV,Chilca CTM 220 kV,1,0.495799,67.664849,500,0,0.781064171,0.957382807
TNE-025,SICN-81,SICN106,Chilca 500 kV,Chilca CTM 220 kV,1,0.698167,68.663115,500,0,0.769670337,0.94341691
TNE-425,SICN207,SICN-26,Independencia 500 kV,Independencia 220 kV,1,0.320947,54.299055,500,0,0.40811391,1.115165311
TNE-325,SICN301,SICN302,Colectora 500 kV,Colectora 220 kV,1,0.469739,54.231301,500,0,0.208827255,0.719624207
TNE-326,SICN301,SICN302,Colectora 500 kV,Colectora 220 kV,1,0.469739,54.231299,500,0,0.208827262,0.719624233
TNE-031,SICN101,SICN029,Poroma 500 kV,Poroma 220 kV,1,1.003704,81.104903,500,0,0.21194207,0.493200606
TSE-042,SICN101,SICN029,Poroma 500 kV,Poroma 220 kV,1,0.155556,48.599751,500,0,0.21224797,0.493912451
TSE-110,SICN101,SICN029,Poroma 500 kV,Poroma 220 kV,1,0.057398,53.366637,500,0,0.19329103,0.449798632
TNE-036,SIS-51,SIS-52,San Jose 500 kV,San Jose 220 kV,1,0.74397,70.537745,500,0,0.507466352,1.37470181
TNE-B36,SIS-51,SIS-52,San Jose 500 kV,San Jose 220 kV,1,0.747648,69.954342,500,0,0.511696977,1.386162368
TNE-610,SIS153,SIS154,Hub San Jose 500 kV,Hub San Jose 220 kV,1,0.478495,55.764612,500,0,0.485481486,1.354167145
TNE-032,SIS-41,SIS-35,Montalvo 500 kV,Montalvo 220 kV,1,0.686667,56.329147,500,0,0.462425949,0.840166353
TNE-132,SIS-41,SIS-35,Montalvo 500 kV,Montalvo 220 kV,1,0.602667,56.663462,500,0,0.459713939,0.835238993
TNE-037,SIS-48,SIS148,Yarabamba 500 kV,Yarabamba 220 kV,1,0.465778,53.997994,500,0,0.642426508,1.085386866
TNE-024,SICN103,SICN-04,Colcabamba 500 kV,Colcabamba 220 kV,1,0.461333,53.998032,500,0,0.655492116,0.836905024
TNE-087,SICN204,SICN185,Yanango 500 kV,Yanango Nueva 220 kV,1,0.160267,53.733097,500,0,0.254748185,0.50446879
TNE-045,SICN211,SICN212,Huanuco 500 kV,Huanuco 220 kV,1,0.160267,53.733097,500,0,0.337700061,1.053684423
TNE-047,SICN216,SICN217,Celendin 500 kV,Celendin 220 kV,1,0.415022,55.765121,500,0,0.228826259,0.471321966
LNE-a93,SICN-65,SICN165,Zorritos 220 kV,Tumbes 220 kV,42.95,0.054692,0.485358,220,0,0.021766649,0.103980462
LNE-091,SICN-51,SICN-65,Talara 220 kV,Zorritos 220 kV,137,0.0648,0.4999,220,0,0.263430001,0.310967831
LNE-142,SICN051,SICN165,PariÇñas 220 kV,Tumbes 220 kV,161.93,0.066991,0.503928,220,0,0.149652694,0.174216165
LNE-243,SICN230,SICN051,Nueva PariÇñas 220 kV,PariÇñas 220 kV,4.25,0.025585,0.352939,220,0,0.057680166,0.133627039
LNE-244,SICN230,SICN051,Nueva PariÇñas 220 kV,PariÇñas 220 kV,4.25,0.025585,0.352939,220,0,0.057680166,0.133627039
LNE-242,SICN052,SICN051,La Brea 220 kV,PariÇñas 220 kV,14.1,0.0618,0.4938,220,0,0.274663795,0.280753025
LNE-342,SICN052,SICN051,La Brea 220 kV,PariÇñas 220 kV,14.1,0.0618,0.4938,220,0,0.274663795,0.280753025
LNE-442,SICN053,SICN051,Campana 220 kV,PariÇñas 220 kV,1.34,0.062,0.494,220,0,0.049373004,0.057123092
LNE-001,SICN-51,SICN-42,Talara 220 kV,Piura Oeste 220 kV,103.71,0.0582,0.5089,220,0,0.132012795,0.390030496
LNE-130,SICN-51,SICN051,Talara 220 kV,PariÇñas 220 kV,11,0.0711,0.4999,220,0,0.371022848,0.78279543
LNEb131,SICN051,SICN142,PariÇñas 220 kV,Chira 220 kV,62.62,0.0711,0.4999,220,0,0.15137865,0.322982517
LNEa131,SICN142,SICN-42,Chira 220 kV,Piura Oeste 220 kV,32.99,0.0711,0.4999,220,0,0.197683248,0.369465092
LNEa106,SICN-42,SICN306,Piura Oeste 220 kV,Piura Este 220 kV,22.8,0.056921,0.43394,220,0,0.220752847,0.38023941
LNEb106,SICN306,SICN-98,Piura Este 220 kV,La NiÇña 220 kV,85.81,0.078753,0.497065,220,0,0.31204153,0.810840846
LNE-206,SICN306,SICN253,Piura Este 220 kV,Colan 220 kV,74,0.062104,0.483567,220,0,0.035157978,0.051408649
LNE-207,SICN306,SICN253,Piura Este 220 kV,Colan 220 kV,74,0.062104,0.483567,220,0,0.035157978,0.051408649
LNE-536,SICN306,SICN600,Piura Este 220 kV,Huangala 220 kV,38.02,0.0706,0.497,220,0,0.078435782,0.106490006
LNE-537,SICN306,SICN600,Piura Este 220 kV,Huangala 220 kV,38.02,0.0706,0.497,220,0,0.078435782,0.106490006
LNE-538,SICN306,SICN601,Piura Este 220 kV,Cruz Verde 220 kV,54.47,0.0706,0.497,220,0,0.054560103,0.072452587
LNE-539,SICN306,SICN601,Piura Este 220 kV,Cruz Verde 220 kV,54.47,0.0706,0.497,220,0,0.054560103,0.072452587
LNEc107,SICN-98,SICN123,La NiÇña 220 kV,Felam 220 kV,56,0.078073,0.506733,220,0,0.153406762,0.666712451
LNEd107,SICN123,SICN-67,Felam 220 kV,Lambayeque Oeste 220 kV,49.7,0.078073,0.506733,220,0,0.222331183,0.764778145
LNEb107,SICN-67,SICN-14,Lambayeque Oeste 220 kV,Chiclayo 220 kV,16.6,0.078073,0.506733,220,0,0.21992284,0.756493892
LNEe110,SICN-42,SICN306,Piura Oeste 220 kV,Piura Este 220 kV,22.8,0.056921,0.43394,220,0,0.220752847,0.38023941
LNEf110,SICN306,SICN-98,Piura Este 220 kV,La NiÇña 220 kV,85.81,0.078753,0.497065,220,0,0.31204153,0.810840846
LNEd110,SICN-98,SICN123,La NiÇña 220 kV,Felam 220 kV,55.69,0.0783,0.5058,220,0,0.154511084,0.671511883
LNEg110,SICN123,SICN-67,Felam 220 kV,Lambayeque Oeste 220 kV,50.8,0.078327,0.506117,220,0,0.217736385,0.748972891
LNEh110,SICN-67,SICN-14,Lambayeque Oeste 220 kV,Chiclayo 220 kV,16.6,0.078327,0.506117,220,0,0.220144728,0.757257144
LNE-210,SICN123,SICN323,Felam 220 kV,Tierras Nuevas 220 kV,28.1502,0.0862,0.4906,220,0,0.108189874,0.147634837
LNE-540,SICN123,SICN323,Felam 220 kV,Tierras Nuevas 220 kV,28.1,0.063243,0.509635,220,0,0.076265867,0.104071652
LN-004A,SICN-14,SICN108,Chiclayo 220 kV,Reque 220 kV,13.772,0.0786,0.4425,220,0,0.272424346,1.00183861
LN-111A,SICN-14,SICN108,Chiclayo 220 kV,Reque 220 kV,13.772,0.0786,0.4425,220,0,0.230047226,0.845997048
LN-004B,SICN108,SICN-17,Reque 220 kV,Guadalupe 220 kV,72.559,0.0786,0.4425,220,0,0.249396951,0.87738848
LN-111B,SICN108,SICN-17,Reque 220 kV,Guadalupe 220 kV,72.559,0.0786,0.4425,220,0,0.210601869,0.740905828
LNX-144,SICN108,SICN-108,Reque 220 kV,Nueva Carhuaquero 220 kV,86.08,0.080161,0.488679,220,0,0.135272818,0.315820901
LNE-A03,SICN-14,SICN-108,Chiclayo 220 kV,Nueva Carhuaquero 220 kV,81.498,0.09,0.49,220,0,0.314914667,0.791946659
LNE-B03,SICN-108,SICN-11,Nueva Carhuaquero 220 kV,Carhuaquero 220 kV,1.592,0.09,0.49,220,0,0.749998798,0.940444734
LNE-005,SICN-54,SICN-17,Trujillo 220 kV,Guadalupe 220 kV,103.35,0.0931,0.5325,220,0,0.240525291,0.878735092
LNE-112,SICN-54,SICN-17,Trujillo 220 kV,Guadalupe 220 kV,103.35,0.078,0.4982,220,0,0.218377076,0.797818805
LNE-212,SICN-218,SICN-17,Cupisnique 220 kV,Guadalupe 220 kV,27.87,0.0615,0.4944,220,0,0.13334085,0.156706384
LNE-121,SICN-54,SICN054,Trujillo 220 kV,Trujillo Nueva 220 kV,4,0.03,0.279,220,0,0.281173198,0.43203895
LNE-122,SICN-54,SICN054,Trujillo 220 kV,Trujillo Nueva 220 kV,4,0.03,0.279,220,0,0.281173198,0.43203895
LNX-022,SICN-54,SICN-78,Trujillo 220 kV,Cajamarca 220 kV,137,0.0564,0.5015,220,0,0.170870046,0.454760894
LNE-320,SICN-108,SICN-78,Nueva Carhuaquero 220 kV,Cajamarca 220 kV,97.66,0.042194,0.382466,220,0,0.246642098,0.775726099
LNEa115,SICN-78,SICN217,Cajamarca 220 kV,Celendin 220 kV,59.72,0.0428,0.3681,220,0,0.579655546,1.416874278
LNEb115,SICN217,SICN109,Celendin 220 kV,Caclic 220 kV,108.56,0.0428,0.3681,220,0,0.693210946,2.167080306
LNE-116,SICN109,SICN110,Caclic 220 kV,Moyobamba 220 kV,110.17,0.054,0.49,220,0,0.579235891,2.225143837
LNX-153,SICN109,SICN-101,Caclic 220 kV,Bagua 220 kV,141.5,0.0646,0.4952,220,0,0.040784067,0.062651698
LNX-154,SICN109,SICN-101,Caclic 220 kV,Bagua 220 kV,141.5,0.0646,0.4952,220,0,0.040784067,0.062651698
LNX-149,SICN110,SICN143,Moyobamba 220 kV,Tarapoto 220 kV,87,0.0554,0.4944,220,0,0.144307437,0.384037612
LNX-049,SICN110,SICN143,Moyobamba 220 kV,Tarapoto 220 kV,87,0.0554,0.4944,220,0,0.144307437,0.384037612
LNX-021,SICN-78,SICN-77,Cajamarca 220 kV,Cerro Corona 220 kV,33.7,0.0693,0.4957,220,0,0.059805024,0.070699055
LNE-548,SICN-15,SICN131,Chimbote 220 kV,Moche 220 kV,110.01,0.0577,0.4829,220,0,0.322644231,0.65002773
LNE-549,SICN131,SICN-54,Moche 220 kV,Trujillo 220 kV,23.12,0.0577,0.4829,220,0,0.181847774,0.428804752
LNEa007,SICN-15,SICN154,Chimbote 220 kV,Viru 220 kV,76.3,0.067,0.48,220,0,0.334851192,0.66329424
LNE-546,SICN131,SICN-54,Moche 220 kV,Trujillo 220 kV,23.12,0.067,0.48,220,0,0.18201213,0.429192312
LNE-547,SICN154,SICN131,Viru 220 kV,Moche 220 kV,37.165,0.067,0.48,220,0,0.268222767,0.564101481
LNE-008,SICN-41,SICN-15,Paramonga 220 kV,Chimbote 220 kV,221.17,0.09,0.48,220,0,0.133160932,0.313944345
LNXa002,SICN-41,SICN041,Paramonga 220 kV,Huarmey 220 kV,84.36,0.09,0.48,220,0,0.146167154,0.339059562
LNXb002,SICN041,SICN-15,Huarmey 220 kV,Chimbote 220 kV,136.81,0.08998,0.48,220,0,0.128248656,0.308123747
LNX-033,SICN-80,SICN-41,Conococha 220 kV,Paramonga 220 kV,92.46,0.0575,0.505,220,0,0.352264523,0.889482361
LNX-c23,SICN-78,SICN11Y,Cajamarca 220 kV,Pampa Honda 220 kV,87.85,0.0452,0.3917,220,0,0.209612088,0.423448381
LNX-c24,SICN-78,SICN11Y,Cajamarca 220 kV,Pampa Honda 220 kV,87.85,0.0452,0.3917,220,0,0.209612088,0.423448381
LNX-d23,SICN11Y,SICN113,Pampa Honda 220 kV,La Ramada 220 kV,35.48,0.0452,0.3917,220,0,0.235716274,0.450815009
LNX-d24,SICN11Y,SICN113,Pampa Honda 220 kV,La Ramada 220 kV,35.48,0.0452,0.3917,220,0,0.235716274,0.450815009
LNX-b23,SICN113,SICN-79,La Ramada 220 kV,Kiman Ayllu 220 kV,104.39,0.0452,0.3917,220,0,0.300399719,0.535098433
LNX-b24,SICN113,SICN-79,La Ramada 220 kV,Kiman Ayllu 220 kV,104.39,0.0452,0.3917,220,0,0.300399719,0.535098433
LNXA025,SICN-80,SICN163,Conococha 220 kV,Huaylas 220 kV,66.85,0.0566,0.4986,220,0,0.21925399,0.490494722
LNXA026,SICN-80,SICN163,Conococha 220 kV,Huaylas 220 kV,66.85,0.0566,0.4986,220,0,0.21925399,0.490494722
LNXB025,SICN163,SICN-79,Huaylas 220 kV,Kiman Ayllu 220 kV,109.76,0.0566,0.4986,220,0,0.190538257,0.391032057
LNXB026,SICN163,SICN-79,Huaylas 220 kV,Kiman Ayllu 220 kV,109.76,0.0566,0.4986,220,0,0.190538257,0.391032057
LNX-226,SICN279,SICN-79,Quitaracsa 220 kV,Kiman Ayllu 220 kV,5.45,0.0634,0.5264,220,0,0.522496792,0.768747983
LNE-409,SICN320,SICN-20,Cheves 220 kV,Huacho 220 kV,75.93,0.0706,0.5228,220,0,0.527206496,0.834290067
LNEa009,SICN-20,SICN141,Huacho 220 kV,Medio Mundo 220 kV,32.58,0.073649,0.49541,220,0,0.16452365,0.49136142
LNEb009,SICN141,SICN-41,Medio Mundo 220 kV,Paramonga 220 kV,26.95,0.073388,0.495245,220,0,0.164271421,0.490608121
LNXa01A,SICN-20,SICN141,Huacho 220 kV,Medio Mundo 220 kV,32.68,0.073653,0.495412,220,0,0.164019193,0.489854823
LNXb01A,SICN141,SICN-41,Medio Mundo 220 kV,Paramonga 220 kV,26.95,0.073388,0.495245,220,0,0.164271421,0.490608121
LNX-074,SICN134,SICN-20,TPCH 220 kV,Huacho 220 kV,77.453,0.075759,0.496356,220,0,0.215998988,0.627868882
LNX-073,SICN-58,SICN134,Zapallal 220 kV,TPCH 220 kV,44.563,0.076393,0.496472,220,0,0.212839272,0.589119125
LNX-083,SICN114,SICN-20,Lomera 220 kV,Huacho 220 kV,48.29,0.0749,0.4962,220,0,0.405708694,0.949436311
LNX-082,SICN-58,SICN114,Zapallal 220 kV,Lomera 220 kV,58.6,0.0749,0.4962,220,0,0.282948894,0.647015346
LNX-186,SICN158,SICN-58,Carabayllo 220 kV,Zapallal 220 kV,10.2,0.0312,0.2813,220,0,0.508611018,0.786594365
LNX-187,SICN158,SICN-58,Carabayllo 220 kV,Zapallal 220 kV,10.2,0.0312,0.2813,220,0,0.508611018,0.786594365
LNX-086,SICN158,SICN-68,Carabayllo 220 kV,Mirador 220 kV,13.52,0.0575,0.5003,220,0,0.514635856,0.679843819
LNX-087,SICN158,SICN-68,Carabayllo 220 kV,Mirador 220 kV,13.52,0.0575,0.5003,220,0,0.514635856,0.679843819
LNX-184,SICN-68,SICN068,Mirador 220 kV,Malvinas 220 kV,19.5,0.050046,0.447138,220,0,0.403173728,0.544982248
LNX-185,SICN-68,SICN068,Mirador 220 kV,Malvinas 220 kV,19.5,0.050046,0.447138,220,0,0.403173728,0.544982248
LNX-188,SICN068,SICN013,Malvinas 220 kV,Barsi 220 kV,5.93,0.0368,0.3785,220,0,0.110015679,0.208732849
LNE-046,SICN-58,SICN-55,Zapallal 220 kV,Ventanilla 220 kV,18.02,0.0882,0.495,220,0,0.577485384,0.864487287
LNE-047,SICN-58,SICN-55,Zapallal 220 kV,Ventanilla 220 kV,18.02,0.0882,0.495,220,0,0.577485384,0.864487287
LNE-021,SICN-55,SICN055,Ventanilla 220 kV,Chillon 220 kV,1.2606,0.073302,0.497712,220,0,0.483311959,0.606376871
LNE-022,SICN-55,SICN055,Ventanilla 220 kV,Chillon 220 kV,1.2606,0.073302,0.497712,220,0,0.483311959,0.606376871
LNE-012,SICN-55,SICN-13,Ventanilla 220 kV,Chavarria 220 kV,10.58,0.0871,0.4996,220,0,0.515114005,0.636672739
LNE-013,SICN-55,SICN-13,Ventanilla 220 kV,Chavarria 220 kV,10.58,0.0871,0.4996,220,0,0.515114005,0.636672739
LNE-014,SICN-55,SICN-13,Ventanilla 220 kV,Chavarria 220 kV,11.07,0.0871,0.4969,220,0,0.494829135,0.611600963
LNE-14B,SICN-55,SICN-13,Ventanilla 220 kV,Chavarria 220 kV,10.58,0.0871,0.4996,220,0,0.515114005,0.636672739
LNE-135,SICN-13,SICN013,Chavarria 220 kV,Barsi 220 kV,9.56,0.067202,0.485377,220,0,0.390762598,0.517480362
LNE-136,SICN-13,SICN013,Chavarria 220 kV,Barsi 220 kV,9.09,0.066886,0.484491,220,0,0.411763168,0.545291065
LNE-915,SICN-13,SICN610,Chavarria 220 kV,San MartÇðn 220 kV,13,0.01832,0.219401,220,0,0.162141629,0.294887621
LNE-916,SICN-13,SICN610,Chavarria 220 kV,San MartÇðn 220 kV,13,0.01832,0.219401,220,0,0.162141629,0.294887621
LNX-a17,SICN-49,SICN-76,Santa Rosa 220 kV,Industriales 220 kV,6.37,0.0725,0.4924,220,0,0.479063239,0.67999466
LNX-a18,SICN-49,SICN-76,Santa Rosa 220 kV,Industriales 220 kV,6.94,0.073053,0.490919,220,0,0.442775963,0.62848757
LNX-030,SICN-84,SICN-76,Planicie 220 kV,Industriales 220 kV,17.194,0.040919,0.323501,220,0,0.419805919,0.596784413
LNX-031,SICN-84,SICN-76,Planicie 220 kV,Industriales 220 kV,17.194,0.040919,0.323501,220,0,0.419805919,0.596784413
LNX-039,SICN-84,SICN-76,Planicie 220 kV,Industriales 220 kV,17.06,0.040286,0.320325,220,0,0.42737499,0.607544394
LNE-157,SICN-84,SICN184,Planicie 220 kV,Manchay 220 kV,3.778,0.026937,0.268268,220,0,0.192016545,0.275484056
LNE-158,SICN-84,SICN184,Planicie 220 kV,Manchay 220 kV,3.778,0.026937,0.268268,220,0,0.192016545,0.275484056
LNE-163,SICN184,SICN148,Manchay 220 kV,Pachacutec 220 kV,17.598,0.0157,0.2166,220,0,0.065363172,0.084021108
LNE-164,SICN184,SICN148,Manchay 220 kV,Pachacutec 220 kV,17.598,0.0157,0.2166,220,0,0.065363172,0.084021108
LNX-011,SICN-76,SICN176,Industriales 220 kV,San Luis 220 kV,5.13,0.026937,0.268268,220,0,0.225559338,0.310025929
LNX-012,SICN-76,SICN176,Industriales 220 kV,San Luis 220 kV,5.13,0.0269,0.2683,220,0,0.225539152,0.309998183
LNE-019,SICN-48,SICN-02,San Juan 220 kV,Balnearios 220 kV,9.76,0.0828,0.488082,220,0,0.45391223,0.607024519
LNE-020,SICN-48,SICN-02,San Juan 220 kV,Balnearios 220 kV,9.76,0.0828,0.488082,220,0,0.45391223,0.607024519
LNE-123,SICN-48,SICN-02,San Juan 220 kV,Balnearios 220 kV,8.7,0.01976,0.250554,220,0,0.671359032,0.897819814
LNX-003,SICN-48,SICN-69,San Juan 220 kV,Chilca REP 220 kV,48.2,0.059,0.3432,220,0,0.702002699,0.919274817
LNX-008,SICN-48,SICN-69,San Juan 220 kV,Chilca REP 220 kV,48.2,0.059,0.3432,220,0,0.702002699,0.919274817
LNX-009,SICN-48,SICN-69,San Juan 220 kV,Chilca REP 220 kV,48.92,0.0364,0.358,220,0,0.675687476,0.884814948
LNX-101,SICN-48,SICN117,San Juan 220 kV,Alto Praderas 220 kV,18.72,0.0364,0.358,220,0,0.396579737,0.593478292
LNX-102,SICN117,SICN-69,Alto Praderas 220 kV,Chilca REP 220 kV,30.2,0.0364,0.358,220,0,0.850266661,1.084784839
LNE-118,SICN106,SICN-69,Chilca CTM 220 kV,Chilca REP 220 kV,1,0.039,13.006192,220,0,0.633639821,1.260578977
LNX-330,SICN286,SICN106,Las Flores 220 kV,Chilca CTM 220 kV,3.2,0.022,0.3366,220,0,0.674774094,0.674774094
LNX-331,SICN386,SICN106,Chilca Uno 220 kV,Chilca CTM 220 kV,1.039,0.027,0.367,220,0,0.567352278,0.572727039
LNX-332,SICN386,SICN106,Chilca Uno 220 kV,Chilca CTM 220 kV,1.039,0.027,0.367,220,0,0.567352278,0.572727039
LNX-333,SICN-86,SICN-69,Platanal 220 kV,Chilca REP 220 kV,108,0.0529,0.499,220,0,0.619621922,0.628909026
LNX-334,SICN186,SICN-69,Kallpa 220 kV,Chilca REP 220 kV,1,0.017,0.1883,220,0,0.021392765,0.021392765
LNX-335,SICN186,SICN-69,Kallpa 220 kV,Chilca REP 220 kV,1,0.017,0.1883,220,0,0.021392765,0.021392765
LNX-336,SICN186,SICN-69,Kallpa 220 kV,Chilca REP 220 kV,1,0.017,0.1883,220,0,0.021392765,0.021392765
LNX-337,SICN186,SICN-69,Kallpa 220 kV,Chilca REP 220 kV,1,0.017,0.1883,220,0,0.021392765,0.021392765
LNX-001,SICN-69,SICN172,Chilca REP 220 kV,Asia 220 kV,28.9,0.083,0.49,220,0,0.604247218,0.89548083
LNX-004,SICN172,SICN-72,Asia 220 kV,Cantera 220 kV,55.11,0.083,0.49,220,0,0.429906241,1.052763548
LNX-007,SICN-72,SICN-26,Cantera 220 kV,Independencia 220 kV,82.21,0.083,0.49,220,0,0.39685281,1.271857371
LNX-013,SICN-69,SICN-75,Chilca REP 220 kV,Desierto 220 kV,106.24,0.0824,0.4866,220,0,0.537778048,0.949631915
LNX-084,SICN-75,SICN115,Desierto 220 kV,Chincha 220 kV,24.4,0.0824,0.4866,220,0,0.403688665,1.164552266
LNX-098,SICN115,SICN-26,Chincha 220 kV,Independencia 220 kV,31.71,0.0824,0.4866,220,0,0.739953005,1.799058024
LNX-143,SICN-69,SICN-26,Chilca REP 220 kV,Independencia 220 kV,165.38,0.078353,0.488723,220,0,0.350788865,0.950141777
LNX-163,SICN-26,SILS-20,Independencia 220 kV,El Angel 220 kV,21.6,0.0588,0.4786,220,0,0.041406393,0.049183851
LNX-164,SICN-26,SILS-20,Independencia 220 kV,El Angel 220 kV,23.1,0.053668,0.506829,220,0,0.036701537,0.043595271
LNX-103,SICN-26,SICN-83,Independencia 220 kV,Aceros 220 kV,24.6,0.083,0.49,220,0,0.699781376,0.773003539
LNE-23A,SICN-26,SICN-25,Independencia 220 kV,Ica 220 kV,55.39,0.083,0.4899,220,0,0.138811659,0.424086801
LNE-23C,SICN-26,SICN616,Independencia 220 kV,ViÇñedos 220 kV,26.13,0.08299,0.4899,220,0,0.134279243,0.410239711
LNE-23D,SICN616,SICN-25,ViÇñedos 220 kV,Ica 220 kV,31.13,0.08299,0.4899,220,0,0.134279243,0.410239711
LNX-A99,SICN-25,SICN135,Ica 220 kV,Mayorazgo 220 kV,27.02,0.08297,0.49,220,0,0.426799564,0.500616887
