COD_CIR;Origen;Destino;Nom_orig;Nom_Des;Km;Res;Reac;tension;proy
LNX-026;SICN-80;SICN-79;Conococha 220 kV;Kiman Ayllu 220 kV;174.9;0.0566;0.4986;220;0
LNEa009;SICN-20;SICN141;Huacho 220 kV;Medio Mundo 220 kV;27.8;0.0749;0.4962;220;0
LNEb009;SICN141;SICN-41;Medio Mundo 220 kV;Paramonga 220 kV;26.6;0.0749;0.4962;220;0
LNXa01A;SICN-20;SICN141;Huacho 220 kV;Medio Mundo 220 kV;27.8;0.0749;0.4962;220;0
LNXb01A;SICN141;SICN-41;Medio Mundo 220 kV;Paramonga 220 kV;26.6;0.0749;0.4962;220;0
LNX-074;SICN134;SICN-20;TPCH 220 kV;Huacho 220 kV;76.9;0.0752;0.4967;220;0
LNX-073;SICN-58;SICN134;Zapallal 220 kV;TPCH 220 kV;44;0.0754;0.4971;220;0
LNX-083;SICN114;SICN-20;Lomera 220 kV;Huacho 220 kV;48.3;0.0749;0.4962;220;0
LNX-082;SICN-58;SICN114;Zapallal 220 kV;Lomera 220 kV;58.6;0.0749;0.4962;220;0
LNX-186;SICN158;SICN-58;Carabayllo 220 kV;Zapallal 220 kV;10.2;0.0312;0.2813;220;0
LNX-187;SICN158;SICN-58;Carabayllo 220 kV;Zapallal 220 kV;10.2;0.0312;0.2813;220;0
LNX-086;SICN158;SICN-68;Carabayllo 220 kV;Mirador 220 kV;13.5;0.0575;0.5003;220;0
LNX-087;SICN158;SICN-68;Carabayllo 220 kV;Mirador 220 kV;13.5;0.0575;0.5003;220;0
LNX-184;SICN-68;SICN068;Mirador 220 kV;Malvinas 220 kV;19.5;0.0501;0.4472;220;0
LNX-185;SICN-68;SICN068;Mirador 220 kV;Malvinas 220 kV;19.5;0.0501;0.4472;220;0
LNE-046;SICN-58;SICN-55;Zapallal 220 kV;Ventanilla 220 kV;18;0.0882;0.495;220;0
LNE-047;SICN-58;SICN-55;Zapallal 220 kV;Ventanilla 220 kV;18;0.0882;0.495;220;0
LNE-021;SICN-55;SICN055;Ventanilla 220 kV;Chillon 220 kV;1.3;0.0733;0.4977;220;0
LNE-022;SICN-55;SICN055;Ventanilla 220 kV;Chillon 220 kV;1.3;0.0733;0.4977;220;0
LNE-012;SICN-55;SICN-13;Ventanilla 220 kV;Chavarria 220 kV;10.6;0.0871;0.4996;220;0
LNE-013;SICN-55;SICN-13;Ventanilla 220 kV;Chavarria 220 kV;10.6;0.0871;0.4996;220;0
LNE-014;SICN-55;SICN-13;Ventanilla 220 kV;Chavarria 220 kV;11.1;0.0871;0.4969;220;0
LNE-14B;SICN-55;SICN-13;Ventanilla 220 kV;Chavarria 220 kV;11.1;0.0871;0.4996;220;0
LNE-A14;SICN-55;SICN014;Ventanilla 220 kV;Aeropuerto 220 kV;7.4;0.0871;0.4969;220;1
LNE-A15;SICN-55;SICN014;Ventanilla 220 kV;Aeropuerto 220 kV;7.4;0.0871;0.4996;220;1
LNE-B14;SICN014;SICN-13;Aeropuerto 220 kV;Chavarria 220 kV;4.8;0.0871;0.4969;220;1
LNE-B15;SICN014;SICN-13;Aeropuerto 220 kV;Chavarria 220 kV;4.8;0.0871;0.4996;220;1
LNE-135;SICN-13;SICN013;Chavarria 220 kV;Barsi 220 kV;9.6;0.0672;0.4854;220;0
LNE-136;SICN-13;SICN013;Chavarria 220 kV;Barsi 220 kV;9.6;0.0636;0.4607;220;0
LNE-015;SICN-13;SICN-49;Chavarria 220 kV;Santa Rosa 220 kV;8.5;0.0733;0.4978;220;1
LNE-016;SICN-13;SICN-49;Chavarria 220 kV;Santa Rosa 220 kV;8.5;0.0733;0.4978;220;1
LNX-a17;SICN-49;SICN-76;Santa Rosa 220 kV;Industriales 220 kV;6.4;0.0725;0.4924;220;0
LNX-a18;SICN-49;SICN-76;Santa Rosa 220 kV;Industriales 220 kV;6.4;0.0725;0.4924;220;0
LNX-b18;SICN-76;SICN-48;Industriales 220 kV;San Juan 220 kV;26.4;0.0725;0.4924;220;1
LNX-030;SICN-84;SICN-76;Planicie 220 kV;Industriales 220 kV;17.2;0.0409;0.3235;220;0
LNX-031;SICN-84;SICN-76;Planicie 220 kV;Industriales 220 kV;17.2;0.0409;0.3235;220;0
LNE-157;SICN-84;SICN184;Planicie 220 kV;Manchay 220 kV;3.8;0.0238;0.1892;220;0
LNE-158;SICN-84;SICN184;Planicie 220 kV;Manchay 220 kV;3.8;0.0238;0.1892;220;0
LNE-163;SICN184;SICN148;Manchay 220 kV;Pachacutec 220 kV;27.6;0.0828;0.4881;220;0
LNE-164;SICN184;SICN148;Manchay 220 kV;Pachacutec 220 kV;27.6;0.0828;0.4881;220;0
LNX-011;SICN-76;SICN176;Industriales 220 kV;San Luis 220 kV;4.8;0.0269;0.2683;220;0
LNX-012;SICN-76;SICN176;Industriales 220 kV;San Luis 220 kV;4.8;0.0269;0.2683;220;0
LNX-016;SICN-76;SICN177;Industriales 220 kV;Los Sauces 220 kV;2.3;0.0269;0.2707;220;0
LNX-017;SICN-76;SICN177;Industriales 220 kV;Los Sauces 220 kV;2.3;0.0269;0.2707;220;0
LNE-019;SICN-48;SICN-02;San Juan 220 kV;Balnearios 220 kV;9.8;0.0665;0.4805;220;0
LNE-020;SICN-48;SICN-02;San Juan 220 kV;Balnearios 220 kV;9.8;0.0665;0.4805;220;0
LNX-003;SICN-48;SICN-69;San Juan 220 kV;Chilca REP 220 kV;48.2;0.059;0.3432;220;0
LNX-008;SICN-48;SICN-69;San Juan 220 kV;Chilca REP 220 kV;48.2;0.059;0.3432;220;0
LNX-009;SICN-48;SICN-69;San Juan 220 kV;Chilca REP 220 kV;48.9;0.0364;0.358;220;0
LNX-101;SICN-48;SICN117;San Juan 220 kV;Alto Praderas 220 kV;18.7;0.0364;0.358;220;0
LNX-102;SICN117;SICN-69;Alto Praderas 220 kV;Chilca REP 220 kV;30.2;0.0364;0.358;220;0
LNX-A03;SICN-48;SICN117;San Juan 220 kV;Alto Praderas 220 kV;18.7;0.0364;0.358;220;1
LNX-B03;SICN117;SICN-69;Alto Praderas 220 kV;Chilca REP 220 kV;30.2;0.0364;0.358;220;1
LNX-A08;SICN-48;SICN117;San Juan 220 kV;Alto Praderas 220 kV;18.7;0.059;0.3432;220;1
LNX-B08;SICN117;SICN-69;Alto Praderas 220 kV;Chilca REP 220 kV;30.2;0.059;0.3432;220;1
LNX-A62;SICN-48;SICN117;San Juan 220 kV;Alto Praderas 220 kV;18.7;0.059;0.3432;220;1
LNX-B62;SICN117;SICN-69;Alto Praderas 220 kV;Chilca REP 220 kV;30.2;0.059;0.3432;220;1
LNE-118;SICN106;SICN-69;Chilca CTM 220 kV;Chilca REP 220 kV;1;0.039;13.0062;220;0
LNX-001;SICN-69;SICN172;Chilca REP 220 kV;Asia 220 kV;28.9;0.083;0.49;220;0
LNX-004;SICN172;SICN-72;Asia 220 kV;Cantera 220 kV;55.1;0.083;0.49;220;0
LNX-007;SICN-72;SICN-26;Cantera 220 kV;Independencia 220 kV;82.2;0.083;0.49;220;0
LNX-013;SICN-69;SICN-75;Chilca REP 220 kV;Desierto 220 kV;106.2;0.0824;0.4866;220;0
LNX-084;SICN-75;SICN115;Desierto 220 kV;Chincha 220 kV;17.5;0.0824;0.4866;220;0
LNX-098;SICN115;SICN-26;Chincha 220 kV;Independencia 220 kV;41;0.0824;0.4866;220;0
