nombre,latitud,longitud,codigo
Santa Lorenza 138 kV,-10.3375,-76.18361,SICN127
Tingo Maria 138 kV,-9.289813,-75.992089,SICN-52
Aucayacu 138 kV,-8.936186,-76.11342,SICN-91
Tocache 138 kV,-8.184636,-76.509665,SICN-92
Bellavista 138 kV,-7.05567,-76.582539,SICN-93
Tarapoto 138 kV,-6.491416,-76.357362,SICN-94
Picota 138 kV,-6.92117,-76.382228,SICN194
Moyobamba 138 kV,-6.046874,-76.973574,SICN-95
Aguaytia (neutro) kV,-9.030898,-75.493197,SICN-97
Aguaytia 138 kV,-9.030898,-75.493197,SICN-59
Pucallpa 138 kV,-8.400094,-74.615618,SICN-60
Campo Verde 138 kV,-8.499068,-74.8368,SICN160
Moquegua 138 kV,-17.215594,-70.966354,SIS-17
Alto Zapata 138 kV,-17.189391,-70.922882,SIS-63
Botiflaca 138 kV,-17.061808,-70.767584,SIS-06
Mill Site 138 kV,-17.268821,-70.624836,SIS-30
Toquepala 138 kV,-17.26771,-70.624724,SIS-31
Aricota 138 kV,-17.421109,-70.398466,SIS-02
Ilo3 138 kV,-17.57696,-71.122145,SIS-55
Ilo ELS 138 kV,-17.501432,-71.360196,SIS-07
SPCC 138 kV,-17.26771,-70.624724,SIS-25
Azangaro 138 kV,-14.914043,-70.2052,SIS-05
Maravilla 138 kV,-15.442187,-70.143933,SIS-60
Putina 138 kV,-14.927437,-69.87588,SIS-61
Ananea 138 kV,-14.680396,-69.540565,SIS-62
Juliaca 138 kV,-15.509134,-70.120159,SIS-14
Puno 138 kV,-15.83193473,-70.05153163,SIS-19
Totorani 138 kV,-15.83136369,-70.05135304,SIS-59
San Rafael 138 kV,-14.230982,-70.321359,SIS-40
San Gaban 138 kV,-13.647333,-70.463639,SIS-37
Mazuco 138 kV,-13.095724,-70.362999,SIS-38
Puerto Maldonado 138 kV,-12.588801,-69.222053,SIS-39
Ayaviri 138 kV,-14.902813,-70.586512,SIS-04
Tintaya 138 kV,-14.882255,-71.313812,SIS-28
Combapata 138 kV,-14.100686,-71.434643,SIS-11
Quencoro 138 kV,-13.546528,-71.906579,SIS-21
Kayra 138 kV,-13.55411,-71.87397,SIS-53
ParqueInd 138 kV,-13.533294,-71.944704,SIS-58
Dolorespata 138 kV,-13.530108,-71.971427,SIS-12
Suriray 138 kV,-13.142702,-72.605442,SIS-47
Machupicchu 138 kV,-13.175248,-72.561116,SIS-15
Cachimayo 138 kV,-13.475523,-72.071384,SIS-08
Abancay 138 kV,-13.620635,-72.878028,SIS-46
Tamburco 138 kV,-13.620635,-72.878028,SIS-01
Callalli 138 kV,-15.535926,-71.406989,SIS-09
Santuario 138 kV,-16.262572,-71.445165,SIS-22
Socabaya 138 kV,-16.47434,-71.516587,SIS-23
Cerro Verde 138 kV,-16.517487,-71.590638,SIS-10
Reparticion 138 kV,-16.531951,-71.791961,SIS-33
Mollendo 138 kV,-17.02565,-71.995674,SIS-16
Guadalupe 60 kV,-7.305982,-79.458096,SICN-18
Callahuanca 60 kV,-11.837811,-76.626121,SICN-07
Huampani 60 kV,-11.972499,-76.775258,SICN-21
Ñaña 60 kV,-11.89965,-76.820403,SICN-32
Huachipa 60 kV,-12.002928,-76.918159,SICN-19
San Miguel 60 kV,-11.93354,-76.866907,SICN246
